time 0, 884 running, numprocesses=1, numholes=1, memusage=78%
time 9, 773 running, numprocesses=1, numholes=1, memusage=81%
time 11, 773 running, numprocesses=1, numholes=1, memusage=81%
time 15, 773 running, numprocesses=1, numholes=1, memusage=81%
time 23, 296 running, numprocesses=1, numholes=1, memusage=54%
time 25, 296 running, numprocesses=1, numholes=1, memusage=54%
time 29, 773 running, numprocesses=1, numholes=1, memusage=81%
time 37, 177 running, numprocesses=2, numholes=1, memusage=99%
time 39, 200 running, numprocesses=2, numholes=2, memusage=82%
time 41, 493 running, numprocesses=3, numholes=1, memusage=99%
time 43, 177 running, numprocesses=3, numholes=1, memusage=99%
time 47, 406 running, numprocesses=3, numholes=2, memusage=42%
time 49, 200 running, numprocesses=2, numholes=1, memusage=71%
time 53, 493 running, numprocesses=3, numholes=1, memusage=88%
time 57, 406 running, numprocesses=3, numholes=1, memusage=88%
time 61, 604 running, numprocesses=3, numholes=2, memusage=81%
time 63, 604 running, numprocesses=3, numholes=2, memusage=81%
time 67, 257 running, numprocesses=2, numholes=1, memusage=86%
time 69, 257 running, numprocesses=2, numholes=1, memusage=86%
time 73, 296 running, numprocesses=2, numholes=1, memusage=61%
time 81, 69 running, numprocesses=2, numholes=1, memusage=96%
time 83, 69 running, numprocesses=2, numholes=1, memusage=96%
time 87, 773 running, numprocesses=2, numholes=1, memusage=88%
time 95, 177 running, numprocesses=2, numholes=1, memusage=25%
time 103, 1018 running, numprocesses=2, numholes=1, memusage=85%
time 105, 382 running, numprocesses=3, numholes=1, memusage=95%
time 107, 1018 running, numprocesses=3, numholes=1, memusage=95%
time 111, 382 running, numprocesses=3, numholes=1, memusage=95%
time 115, 289 running, numprocesses=3, numholes=2, memusage=36%
time 117, 289 running, numprocesses=3, numholes=2, memusage=36%
time 121, 176 running, numprocesses=4, numholes=2, memusage=48%
time 123, 176 running, numprocesses=4, numholes=2, memusage=48%
time 127, 200 running, numprocesses=3, numholes=2, memusage=81%
time 135, 887 running, numprocesses=3, numholes=2, memusage=83%
time 136, 493 running, numprocesses=3, numholes=2, memusage=34%
time 144, 1001 running, numprocesses=4, numholes=2, memusage=75%
time 146, 1001 running, numprocesses=4, numholes=2, memusage=75%
time 150, 406 running, numprocesses=4, numholes=2, memusage=75%
time 158, 329 running, numprocesses=5, numholes=2, memusage=93%
time 160, 329 running, numprocesses=5, numholes=2, memusage=93%
time 164, 257 running, numprocesses=2, numholes=1, memusage=86%
time 172, 313 running, numprocesses=2, numholes=1, memusage=63%
time 174, 313 running, numprocesses=2, numholes=1, memusage=63%
time 178, 490 running, numprocesses=2, numholes=1, memusage=47%
time 180, 490 running, numprocesses=2, numholes=1, memusage=47%
time 184, 296 running, numprocesses=2, numholes=1, memusage=61%
time 192, 511 running, numprocesses=2, numholes=1, memusage=56%
time 194, 511 running, numprocesses=2, numholes=1, memusage=56%
time 198, 85 running, numprocesses=3, numholes=1, memusage=85%
time 200, 85 running, numprocesses=3, numholes=1, memusage=85%
time 204, 343 running, numprocesses=2, numholes=1, memusage=81%
time 206, 618 running, numprocesses=1, numholes=1, memusage=97%
time 208, 343 running, numprocesses=1, numholes=1, memusage=74%
time 212, 542 running, numprocesses=1, numholes=1, memusage=98%
time 214, 618 running, numprocesses=1, numholes=1, memusage=97%
time 218, 542 running, numprocesses=1, numholes=1, memusage=98%
time 222, 69 running, numprocesses=1, numholes=1, memusage=89%
time 226, 773 running, numprocesses=1, numholes=1, memusage=81%
time 234, 974 running, numprocesses=2, numholes=1, memusage=97%
time 236, 974 running, numprocesses=2, numholes=1, memusage=97%
time 240, 177 running, numprocesses=2, numholes=2, memusage=34%
time 248, 752 running, numprocesses=3, numholes=2, memusage=80%
time 250, 46 running, numprocesses=3, numholes=2, memusage=59%
time 252, 752 running, numprocesses=3, numholes=2, memusage=80%
time 256, 687 running, numprocesses=4, numholes=2, memusage=85%
time 258, 46 running, numprocesses=4, numholes=3, memusage=64%
time 262, 687 running, numprocesses=4, numholes=3, memusage=64%
time 266, 28 running, numprocesses=5, numholes=3, memusage=71%
time 268, 28 running, numprocesses=5, numholes=3, memusage=71%
time 272, 1018 running, numprocesses=1, numholes=1, memusage=78%
time 280, 331 running, numprocesses=1, numholes=1, memusage=88%
time 282, 331 running, numprocesses=1, numholes=1, memusage=88%
time 284, 382 running, numprocesses=1, numholes=1, memusage=10%
time 285, 289 running, numprocesses=1, numholes=1, memusage=19%
time 293, 278 running, numprocesses=2, numholes=1, memusage=61%
time 295, 301 running, numprocesses=1, numholes=1, memusage=90%
time 297, 278 running, numprocesses=1, numholes=1, memusage=42%
time 301, 301 running, numprocesses=1, numholes=1, memusage=90%
time 305, 40 running, numprocesses=2, numholes=1, memusage=93%
time 307, 40 running, numprocesses=2, numholes=1, memusage=93%
time 311, 176 running, numprocesses=2, numholes=2, memusage=15%
time 319, 200 running, numprocesses=3, numholes=2, memusage=79%
time 327, 825 running, numprocesses=3, numholes=2, memusage=61%
time 329, 1020 running, numprocesses=1, numholes=1, memusage=93%
time 331, 159 running, numprocesses=1, numholes=1, memusage=91%
time 333, 825 running, numprocesses=1, numholes=1, memusage=46%
time 337, 1020 running, numprocesses=1, numholes=1, memusage=93%
time 341, 159 running, numprocesses=1, numholes=1, memusage=91%
time 345, 493 running, numprocesses=1, numholes=1, memusage=17%
time 353, 620 running, numprocesses=2, numholes=1, memusage=77%
time 355, 1023 running, numprocesses=2, numholes=1, memusage=51%
time 357, 940 running, numprocesses=2, numholes=1, memusage=97%
time 359, 620 running, numprocesses=2, numholes=1, memusage=77%
time 363, 1023 running, numprocesses=2, numholes=1, memusage=51%
time 364, 940 running, numprocesses=2, numholes=1, memusage=97%
time 366, 1001 running, numprocesses=2, numholes=1, memusage=57%
time 374, 406 running, numprocesses=3, numholes=1, memusage=65%
time 382, 238 running, numprocesses=4, numholes=1, memusage=74%
time 384, 799 running, numprocesses=1, numholes=1, memusage=61%
time 386, 238 running, numprocesses=2, numholes=1, memusage=70%
time 390, 799 running, numprocesses=2, numholes=1, memusage=70%
time 394, 329 running, numprocesses=3, numholes=1, memusage=88%
time 402, 193 running, numprocesses=4, numholes=1, memusage=89%
time 404, 193 running, numprocesses=4, numholes=1, memusage=89%
time 408, 257 running, numprocesses=2, numholes=2, memusage=80%
time 416, 633 running, numprocesses=2, numholes=2, memusage=56%
time 418, 633 running, numprocesses=2, numholes=2, memusage=56%
time 422, 313 running, numprocesses=2, numholes=2, memusage=56%
time 430, 760 running, numprocesses=2, numholes=2, memusage=63%
time 432, 894 running, numprocesses=2, numholes=2, memusage=66%
time 434, 760 running, numprocesses=2, numholes=2, memusage=63%
time 438, 894 running, numprocesses=2, numholes=2, memusage=66%
time 442, 158 running, numprocesses=2, numholes=2, memusage=63%
time 444, 158 running, numprocesses=2, numholes=2, memusage=63%
time 448, 490 running, numprocesses=2, numholes=2, memusage=41%
time 456, 1006 running, numprocesses=2, numholes=2, memusage=82%
time 458, 845 running, numprocesses=2, numholes=2, memusage=26%
time 460, 1006 running, numprocesses=2, numholes=2, memusage=82%
time 464, 845 running, numprocesses=2, numholes=2, memusage=26%
time 468, 296 running, numprocesses=3, numholes=2, memusage=80%
time 476, 194 running, numprocesses=3, numholes=2, memusage=86%
time 478, 194 running, numprocesses=3, numholes=2, memusage=86%
time 482, 511 running, numprocesses=3, numholes=2, memusage=76%
time 484, 175 running, numprocesses=3, numholes=2, memusage=70%
time 486, 175 running, numprocesses=3, numholes=2, memusage=70%
time 490, 85 running, numprocesses=3, numholes=2, memusage=54%
time 498, 227 running, numprocesses=4, numholes=2, memusage=79%
time 500, 227 running, numprocesses=4, numholes=2, memusage=79%
time 504, 343 running, numprocesses=2, numholes=2, memusage=75%
time 512, 618 running, numprocesses=1, numholes=1, memusage=97%
time 520, 339 running, numprocesses=1, numholes=1, memusage=75%
time 522, 339 running, numprocesses=1, numholes=1, memusage=75%
time 526, 542 running, numprocesses=1, numholes=1, memusage=98%
time 534, 786 running, numprocesses=1, numholes=1, memusage=38%
time 536, 689 running, numprocesses=1, numholes=1, memusage=48%
time 538, 1003 running, numprocesses=2, numholes=1, memusage=94%
time 540, 689 running, numprocesses=2, numholes=1, memusage=94%
time 544, 202 running, numprocesses=2, numholes=2, memusage=76%
time 546, 422 running, numprocesses=2, numholes=1, memusage=66%
time 548, 1003 running, numprocesses=2, numholes=1, memusage=76%
time 552, 202 running, numprocesses=2, numholes=1, memusage=76%
time 556, 422 running, numprocesses=2, numholes=1, memusage=66%
time 560, 732 running, numprocesses=3, numholes=1, memusage=76%
time 562, 895 running, numprocesses=4, numholes=1, memusage=85%
time 564, 732 running, numprocesses=4, numholes=1, memusage=85%
time 568, 895 running, numprocesses=4, numholes=1, memusage=85%
time 572, 216 running, numprocesses=3, numholes=2, memusage=80%
time 574, 440 running, numprocesses=1, numholes=1, memusage=99%
time 576, 216 running, numprocesses=1, numholes=1, memusage=61%
time 580, 440 running, numprocesses=1, numholes=1, memusage=99%
time 584, 773 running, numprocesses=1, numholes=1, memusage=81%
time 592, 142 running, numprocesses=2, numholes=1, memusage=82%
time 594, 142 running, numprocesses=2, numholes=1, memusage=82%
time 598, 412 running, numprocesses=1, numholes=1, memusage=86%
time 600, 412 running, numprocesses=1, numholes=1, memusage=86%
time 604, 891 running, numprocesses=1, numholes=1, memusage=39%
time 606, 576 running, numprocesses=1, numholes=1, memusage=97%
time 608, 891 running, numprocesses=1, numholes=1, memusage=39%
time 612, 576 running, numprocesses=1, numholes=1, memusage=97%
time 616, 974 running, numprocesses=1, numholes=1, memusage=16%
time 624, 96 running, numprocesses=2, numholes=1, memusage=40%
time 626, 139 running, numprocesses=3, numholes=1, memusage=89%
time 628, 96 running, numprocesses=3, numholes=1, memusage=89%
time 632, 139 running, numprocesses=3, numholes=1, memusage=89%
time 636, 525 running, numprocesses=3, numholes=1, memusage=70%
time 638, 525 running, numprocesses=3, numholes=1, memusage=70%
time 642, 177 running, numprocesses=4, numholes=1, memusage=88%
time 650, 752 running, numprocesses=3, numholes=2, memusage=80%
time 653, 586 running, numprocesses=1, numholes=1, memusage=98%
time 655, 586 running, numprocesses=1, numholes=1, memusage=98%
time 658, 46 running, numprocesses=1, numholes=1, memusage=25%
time 666, 687 running, numprocesses=2, numholes=1, memusage=30%
time 674, 942 running, numprocesses=3, numholes=1, memusage=32%
time 676, 942 running, numprocesses=3, numholes=1, memusage=32%
time 680, 607 running, numprocesses=4, numholes=1, memusage=68%
time 681, 28 running, numprocesses=4, numholes=1, memusage=39%
time 689, 682 running, numprocesses=5, numholes=1, memusage=88%
time 691, 233 running, numprocesses=1, numholes=1, memusage=80%
time 693, 682 running, numprocesses=1, numholes=1, memusage=49%
time 697, 233 running, numprocesses=1, numholes=1, memusage=80%
time 701, 1018 running, numprocesses=1, numholes=1, memusage=78%
time 709, 1016 running, numprocesses=1, numholes=1, memusage=66%
time 711, 1016 running, numprocesses=1, numholes=1, memusage=66%
time 715, 289 running, numprocesses=2, numholes=1, memusage=85%
time 723, 354 running, numprocesses=1, numholes=1, memusage=49%
time 725, 354 running, numprocesses=1, numholes=1, memusage=49%
time 729, 278 running, numprocesses=2, numholes=1, memusage=91%
time 737, 880 running, numprocesses=1, numholes=1, memusage=73%
time 739, 880 running, numprocesses=1, numholes=1, memusage=73%
time 743, 301 running, numprocesses=1, numholes=1, memusage=90%
time 751, 239 running, numprocesses=1, numholes=1, memusage=86%
time 753, 801 running, numprocesses=1, numholes=1, memusage=68%
time 755, 239 running, numprocesses=1, numholes=1, memusage=86%
time 759, 801 running, numprocesses=1, numholes=1, memusage=68%
time 763, 291 running, numprocesses=1, numholes=1, memusage=74%
time 765, 291 running, numprocesses=1, numholes=1, memusage=74%
time 769, 40 running, numprocesses=2, numholes=1, memusage=77%
time 777, 379 running, numprocesses=2, numholes=2, memusage=39%
time 779, 379 running, numprocesses=2, numholes=2, memusage=39%
time 783, 176 running, numprocesses=3, numholes=2, memusage=51%
time 791, 509 running, numprocesses=2, numholes=2, memusage=43%
time 793, 509 running, numprocesses=2, numholes=2, memusage=43%
time 795, 200 running, numprocesses=2, numholes=2, memusage=67%
time 803, 955 running, numprocesses=3, numholes=2, memusage=87%
time 805, 20 running, numprocesses=3, numholes=2, memusage=69%
time 807, 955 running, numprocesses=3, numholes=2, memusage=69%
time 810, 20 running, numprocesses=2, numholes=2, memusage=49%
time 814, 795 running, numprocesses=3, numholes=2, memusage=55%
time 816, 209 running, numprocesses=2, numholes=2, memusage=76%
time 818, 795 running, numprocesses=3, numholes=2, memusage=82%
time 822, 209 running, numprocesses=3, numholes=2, memusage=82%
time 826, 825 running, numprocesses=3, numholes=2, memusage=55%
time 831, 1020 running, numprocesses=1, numholes=1, memusage=93%
time 839, 644 running, numprocesses=1, numholes=1, memusage=15%
time 841, 559 running, numprocesses=2, numholes=1, memusage=66%
time 843, 644 running, numprocesses=2, numholes=1, memusage=66%
time 847, 559 running, numprocesses=2, numholes=1, memusage=66%
time 851, 541 running, numprocesses=3, numholes=1, memusage=79%
time 853, 541 running, numprocesses=3, numholes=1, memusage=79%
time 857, 159 running, numprocesses=1, numholes=1, memusage=91%
time 865, 376 running, numprocesses=1, numholes=1, memusage=83%
time 867, 402 running, numprocesses=2, numholes=1, memusage=87%
time 869, 376 running, numprocesses=2, numholes=1, memusage=87%
time 873, 402 running, numprocesses=2, numholes=1, memusage=87%
time 876, 493 running, numprocesses=2, numholes=0, memusage=100%
time 884, 436 running, numprocesses=2, numholes=1, memusage=26%
time 886, 788 running, numprocesses=3, numholes=1, memusage=42%
time 888, 908 running, numprocesses=4, numholes=1, memusage=87%
time 890, 436 running, numprocesses=4, numholes=1, memusage=87%
time 893, 164 running, numprocesses=1, numholes=1, memusage=81%
time 895, 788 running, numprocesses=2, numholes=1, memusage=97%
time 899, 908 running, numprocesses=2, numholes=2, memusage=61%
time 903, 164 running, numprocesses=2, numholes=1, memusage=97%
